                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
27/05/15  7:30a   16.2   16.2   16.2    87   14.1   0.0   ---   0.00   0.0   ---   16.2   16.4   16.4  1017.8  0.00   0.0   0.007   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:35a   16.2   16.2   16.2    87   14.1   0.0   SSE   0.00   0.9   SSE   16.2   16.4   16.4  1017.8  0.00   0.0   0.007   0.000   26.1    87   23.7   28.8  18.82  .0719    113    1     99.1    5 
27/05/15  7:40a   16.2   16.3   16.2    86   13.9   0.0   ---   0.00   0.0   ---   16.2   16.4   16.4  1017.9  0.00   0.0   0.007   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:45a   16.2   16.3   16.2    86   13.9   0.0   ---   0.00   0.0   ---   16.2   16.4   16.4  1017.8  0.00   0.0   0.007   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  7:50a   16.2   16.3   16.2    86   13.9   0.0   ---   0.00   0.0   ---   16.2   16.4   16.4  1017.8  0.00   0.0   0.007   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  7:55a   16.3   16.3   16.2    86   13.9   0.0   SSE   0.00   2.6   SSE   16.3   16.4   16.4  1017.8  0.00   0.0   0.007   0.000   26.1    86   23.5   28.7  18.39  .0719    118    1    100.0    5 
27/05/15  8:00a   16.3   16.3   16.2    86   14.0   0.0   ---   0.00   0.0   ---   16.3   16.5   16.5  1017.8  0.00   0.0   0.007   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  8:05a   16.3   16.3   16.3    85   13.8   0.0   ---   0.00   0.0   ---   16.3   16.4   16.4  1017.8  0.00   0.0   0.007   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  8:10a   16.4   16.4   16.3    85   13.9   0.0   ---   0.00   0.0   ---   16.4   16.6   16.6  1017.8  0.00   0.0   0.007   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  8:15a   16.4   16.4   16.4    84   13.7   0.0   ---   0.00   0.0   ---   16.4   16.6   16.6  1017.8  0.00   0.0   0.007   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  8:20a   16.6   16.6   16.4    84   13.8   0.0   ---   0.00   0.0   ---   16.6   16.7   16.7  1017.9  0.00   0.0   0.006   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  8:25a   16.6   16.6   16.6    84   13.9   0.0   ---   0.00   0.0   ---   16.6   16.8   16.8  1017.9  0.00   0.0   0.006   0.000   26.1    86   23.5   28.7  18.39  .0719    117    1    100.0    5 
27/05/15  8:30a   16.7   16.7   16.6    83   13.8   0.0   ---   0.00   0.0   ---   16.7   16.8   16.8  1017.9  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  8:35a   16.7   16.7   16.7    83   13.8   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1017.9  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    113    1     99.1    5 
27/05/15  8:40a   16.8   16.8   16.7    82   13.7   0.0   ---   0.00   0.0   ---   16.8   17.0   17.0  1017.9  0.00   0.0   0.005   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  8:45a   16.9   16.9   16.8    82   13.8   0.0   ---   0.00   0.0   ---   16.9   17.1   17.1  1017.9  0.00   0.0   0.005   0.000   25.8    87   23.5   28.4  18.84  .0720    117    1    100.0    5 
27/05/15  8:50a   16.9   16.9   16.9    81   13.7   0.0   ---   0.00   0.0   ---   16.9   17.1   17.1  1017.9  0.00   0.0   0.005   0.000   25.8    87   23.5   28.4  18.84  .0720    117    1    100.0    5 
27/05/15  8:55a   17.0   17.0   16.9    81   13.7   0.0   ---   0.00   0.0   ---   17.0   17.2   17.2  1017.9  0.00   0.0   0.005   0.000   25.8    87   23.5   28.4  18.84  .0720    117    1    100.0    5 
27/05/15  9:00a   17.0   17.1   16.9    81   13.7   0.0   ---   0.00   0.0   ---   17.0   17.2   17.2  1017.9  0.00   0.0   0.005   0.000   25.8    87   23.5   28.4  18.84  .0720    117    1    100.0    5 
27/05/15  9:05a   17.1   17.1   17.1    81   13.8   0.0   ---   0.00   0.0   ---   17.1   17.3   17.3  1017.9  0.00   0.0   0.004   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
